Заголовок:Перелік галузей знань, спеціальностей та освітніх програм підготовки здобувачів вищої освіти
на першому (бакалаврському), другому (магістерському) та третьому (освітньо-науковому) рівнях вищої освіти та сертифікатів про акредитацію
Дата: ----------
URL: https://docs.google.com/spreadsheets/d/1UyHKOsqxT8RUAy0adTHsiS_KUQVzdYI1AedOw5A1z5E/edit?gid=0#gid=0
==================================================
"Перелік галузей знань, спеціальностей та освітніх програм підготовки здобувачів вищої освіти
на першому (бакалаврському), другому (магістерському) та третьому (освітньо-науковому) рівнях вищої освіти та сертифікатів про акредитацію"									
33	05 Соціальні та поведінкові науки	054 Соціологія	49904	Соціологія	Третій (освітньо- науковий)	"№ 5633
(ОП)"	"19.07.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
34	06 Журналістика	061 Журналістика	7047	Реклама і зв'язки з громадськістю	Перший (бакалаврський)	УД №11010595  (С)	"25.06.2019
01.07.2029"	Міністерство освіти і науки України	Факультет міжнародних відносин
35	06 Журналістика	061 Журналістика	6988	Журналістика	Перший (бакалаврський)	УД №11010595  (С)	"25.06.2019
01.07.2029"	Міністерство освіти і науки України	Факультет міжнародних відносин
36	06 Журналістика	061 Журналістика	9455	Журналістика	Другий (магістерський)	"№ 6205
(ОП)"	24.11.2023 01.07.2029	Національне агентство із забезпечення якості вищої освіти 	Факультет міжнародних відносин
37	06 Журналістика	061 Журналістика	56045	Міжнародна журналістика	Третій (освітньо- науковий)	Неакредитована (ОП)	---	---	Факультет міжнародних відносин
38	07 Управління та адміністрування	071 Облік і оподаткування	6945	Облік і аудит	Перший (бакалаврський)	"№3935
 (ОП)"	"29.12.2022
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
39	07 Управління та адміністрування	071 Облік і оподаткування	7262	Облік і аудит	Другий (магістерський)	"№6453
 (ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
40	07 Управління та адміністрування	072 Фінанси, банківська справа та страхування	7524	Фінанси і кредит	Перший (бакалаврський)	УД №11005619 (С)	"12.09.2018
01.07.2028"	Міністерство освіти і науки України	Факультет економіки та бізнес- адміністрування
41	07 Управління та адміністрування	072 Фінанси, банківська справа, страхування та фондовий ринок (для вступників з 2023 року)	59176	Фінанси і кредит	Перший (бакалаврський)	УД №11016965 (С)	"01.07.2023
01.07.2028"	Міністерство освіти і науки України	Факультет економіки та бізнес- адміністрування
42	07 Управління та адміністрування	072 Фінанси, банківська справа, страхування та фондовий ринок 	59295	Фінанси і кредит	Другий (магістерський)	УД №11016968 (ОП)	"01.07.2023
01.07.2025"	Міністерство освіти і науки України	Факультет економіки та бізнес- адміністрування
43	07 Управління та адміністрування	072 Фінанси, банківська справа та страхування	55551	Фінанси, банківська справа та страхування	Третій (освітньо- науковий)	Неакредитована (ОП)	---	---	Факультет економіки та бізнес- адміністрування
44	07 Управління та адміністрування	072 Фінанси, банківська справа, страхування та фондовий ринок (для вступників з 2023 року)	59091	Фінанси, банківська справа та страхування	Третій (освітньо- науковий)	Неакредитована (ОП)	---	---	Факультет економіки та бізнес- адміністрування
45	07 Управління та адміністрування	073 Менеджмент	16499	Менеджмент організацій і адміністрування (за видами економічної діяльності)	Перший (бакалаврський)	НД №1191118 (С)	"30.08.2017
01.07.2026"	Міністерство освіти і науки України	Факультет транспорту, менеджменту і логістики
46	07 Управління та адміністрування	073 Менеджмент	8323	Менеджмент організацій і адміністрування (за видами економічної діяльності)	Другий (магістерський)	УД №11003171 (ОП)	"08.01.2019
 01.07.2025"	Міністерство освіти і науки України	Факультет транспорту, менеджменту і логістики
47	07 Управління та адміністрування	073 Менеджмент	9486	Менеджмент зовнішньоекономічної діяльності	Перший (бакалаврський)	НД №1191118 (С)	"30.08.2017
 01.07.2026"	Міністерство освіти і науки України	Факультет транспорту, менеджменту і логістики
48	07 Управління та адміністрування	073 Менеджмент	16497	Менеджмент зовнішньоекономічної діяльності	Другий (магістерський)	УД №11006749 (ОП)	"08.01.2019
 01.07.2025"	Міністерство освіти і науки України	Факультет транспорту, менеджменту і логістики
49	07 Управління та адміністрування	073 Менеджмент	39658	"Менеджмент авіакомпаній та аеропортів
Набір припинено з 2025 р."	Перший (бакалаврський)	НД №1191118 (С)	"30.08.2017
 01.07.2026"	Міністерство освіти і науки України	Факультет транспорту, менеджменту і логістики
50	07 Управління та адміністрування	073 Менеджмент	32989	"Авіаційна логістика
Набір припинено з 2025 р."	Перший (бакалаврський)	НД №1191118 (С)	"30.08.2017
 01.07.2026"	Міністерство освіти і науки України	Факультет транспорту, менеджменту і логістики
51	07 Управління та адміністрування	073 Менеджмент	10171	Логістика	Перший (бакалаврський)	НД №1191118 (С)	"30.08.2017
 01.07.2026"	Міністерство освіти і науки України	Факультет транспорту, менеджменту і логістики
52	07 Управління та адміністрування	073 Менеджмент	6993	Логістика	Другий (магістерський)	УД №11006750 (ОП)	"08.01.2019
 01.07.2025"	Міністерство освіти і науки України	Факультет транспорту, менеджменту і логістики
53	07 Управління та адміністрування	073 Менеджмент	33905	Глобальна логістика та управління ланцюгами постачання	Другий (магістерський)	НД №1191165 (С)	"30.08.2017
 01.07.2026"	Міністерство освіти і науки України	Факультет транспорту, менеджменту і логістики
54	07 Управління та адміністрування	073 Менеджмент	9228	Адміністративний менеджмент	Другий (магістерський)	УД №11008666 (ОП)	"23.04.2019
 01.07.2025"	Міністерство освіти і науки України	Навчально- науковий інститут неперервної освіти
55	07 Управління та адміністрування	073 Менеджмент	10170	Управління проектами	Другий (магістерський)	УД №11008667 (ОП)	"23.04.2019
 01.07.2025"	Міністерство освіти і науки України	Навчально- науковий інститут неперервної освіти
56	07 Управління та адміністрування	073 Менеджмент	26758	Управління інноваційною діяльністю	Другий (магістерський)	НД №1191165 (С)	"30.08.2017
01.07.2026"	Міністерство освіти і науки України	Навчально- науковий інститут неперервної освіти
57	07 Управління та адміністрування	073 Менеджмент	54293	Менеджмент	Третій (освітньо- науковий)	Неакредитована (ОП)	---	---	Факультет транспорту, менеджменту і логістики
58	07 Управління та адміністрування	075 Маркетинг	18126	Електронний маркетинг	Перший (бакалаврський)	"№ 4452
(ОП)"	"19.05.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
59	07 Управління та адміністрування	075 Маркетинг	24565	Міжнародний маркетинг	Другий (магістерський)	"№ 3638
(ОП)"	"25.11.2022
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
60	07 Управління та адміністрування	075 Маркетинг	7675	Маркетинг	Перший (бакалаврський)	"№3917
(ОП)"	"29.12.2022
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
61	07 Управління та адміністрування	075 Маркетинг	12057	Маркетинг	Другий (магістерський)	"№6480
 (ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
62	07 Управління та адміністрування	075 Маркетинг	49905	Маркетинг	Третій (освітньо- науковий)	"№ 3355
(ОП)"	"20.05.2022
01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
63	07 Управління та адміністрування	076 Підприємництво, торгівля та біржова діяльність	24314	Митна та біржова справа	Перший (бакалаврський)	"№ 5787
(ОП)"	"28.07.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
64	07 Управління та адміністрування	076 Підприємництво та торгівля (для вступників з 2023 року)	59177	Митна та біржова справа	Перший (бакалаврський)	"№ 5787
(ОП)"	"28.07.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
65	07 Управління та адміністрування	076 Підприємництво, торгівля та біржова діяльність	9495	Підприємницька діяльність в авіації	Перший (бакалаврський)	"№ 5778
 (ОП)"	"26.07.2023
16.06.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
66	07 Управління та адміністрування	076 Підприємництво та торгівля (для вступників з 2023 року)	59178	Підприємницька діяльність в авіації	Перший (бакалаврський)	"№ 5778
 (ОП)"	"26.07.2023
16.06.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
67	07 Управління та адміністрування	076 Підприємництво, торгівля та біржова діяльність	24315	Підприємництво та бізнес-технології	Перший (бакалаврський)	"№  5786
(ОП)"	"28.07.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
68	07 Управління та адміністрування	076 Підприємництво та торгівля (для вступників з 2023 року)	59191	Підприємництво та бізнес-технології	Перший (бакалаврський)	"№  5786
(ОП)"	"28.07.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
69	07 Управління та адміністрування	076 Підприємництво та торгівля 	59296	Підприємництво та бізнес-технології	Другий (магістерський)	"№ 5759
 (ОП)"	"26.07.2023
28.01.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
70	07 Управління та адміністрування	076 Підприємництво та торгівля	59028	Митна діяльність підприємницьких структур	Другий (магістерський)	"№9248
(ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет економіки та бізнес- адміністрування
71	08 Право	081 Право	8816	Правознавство	Перший (бакалаврський)	НД №1191113 (С)	"30.08.2017
01.07.2027"	Міністерство освіти і науки України	Юридичний факультет
72	08 Право	081 Право	7260	Правознавство	Другий (магістерський)	"№6493
 (ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Юридичний факультет
73	08 Право	081 Право	49906	Право	Третій (освітньо- науковий)	"№ 3507
 (ОП)"	"23.06.2022
01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Юридичний факультет
74	10 Природничі науки	101 Екологія	8353	Екологія та охорона навколишнього середовища	Перший (бакалаврський)	НД №1191119 (С)	"30.08.2017
01.07.2025"	Міністерство освіти і науки України	Факультет екологічної безпеки, інженерії та технологій
75	10 Природничі науки	101 Екологія	7853	Екологія та охорона навколишнього середовища	Другий (магістерський)	УД №11008105 (ОП)	"08.01.2019
01.07.2025"	Міністерство освіти і науки України	Факультет екологічної безпеки, інженерії та технологій
76	10 Природничі науки	101 Екологія	48417	Екологія	Третій (освітньо- науковий)	"№ 3350
(ОП)"	"20.05.2022
01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Факультет екологічної безпеки, інженерії та технологій
77	10 Природничі науки	102 Хімія	49907	Хімія	Третій (освітньо- науковий)	Неакредитована (ОП)	---	---	Факультет екологічної безпеки, інженерії та технологій
78	11 Математика та статистика	113 Прикладна математика	24190	Прикладне програмне забезпечення	Перший (бакалаврський)	"№ 4216
(ОП)"	"28.04.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
79	11 Математика та статистика	113 Прикладна математика	6373	Прикладна математика	Другий (магістерський)	УД №11005802 (ОП)	"12.11.2018
 01.07.2025"	Міністерство освіти і науки України	Факультет комп'ютерних наук та технологій
80	12 Інформаційні технології	121 Інженерія програмного забезпечення	9225	Інженерія програмного забезпечення	Перший (бакалаврський)	НД №1191125 (С)	"30.08.2017
 01.07.2025"	Міністерство освіти і науки України	Факультет комп'ютерних наук та технологій
81	12 Інформаційні технології	121 Інженерія програмного забезпечення	7973	Інженерія програмного забезпечення	Другий (магістерський)	УД №11005804 (ОП)	"12.11.2018
 01.07.2025"	Міністерство освіти і науки України	Факультет комп'ютерних наук та технологій
82	12 Інформаційні технології	121 Інженерія програмного забезпечення	49908	Інженерія програмного забезпечення	Третій (освітньо- науковий)	"№ 4596
(ОП)"	"02.06.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
83	12 Інформаційні технології	122 Комп’ютерні науки	20978	Інформаційні управляючі системи та технології	Перший (бакалаврський)	"№ 4089 
(ОП)"	"22.03.2023
 01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
84	12 Інформаційні технології	122 Комп’ютерні науки	22261	Інформаційні управляючі системи та технології	Другий (магістерський)	"№6515
 (ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
85	12 Інформаційні технології	122 Комп’ютерні науки	20979	Інформаційні технології проектування	Перший (бакалаврський)	"№ 4594
(ОП)"	"02.06.2023
 01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
86	12 Інформаційні технології	122 Комп’ютерні науки	22262	Інформаційні технології проектування	Другий (магістерський)	"№9251
(ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
87	12 Інформаційні технології	122 Комп’ютерні науки	60702	Аналітика даних та штучний інтелект	Перший (бакалаврський)	НД №1191123 (С)	"30.08.2017
 01.07.2025"	Міністерство освіти і науки України	Факультет комп'ютерних наук та технологій
88	12 Інформаційні технології	122 Комп’ютерні науки	49909	Комп’ютерні науки	Третій (освітньо- науковий)	"№ 5218
(ОП)"	"28.06.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
89	12 Інформаційні технології	123 Комп’ютерна інженерія	7117	Комп’ютерні системи та мережі	Перший (бакалаврський)	"№6331
(ОП)"	"14.12.2023
12.12.2024"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
90	12 Інформаційні технології	123 Комп’ютерна інженерія	6985	Комп’ютерні системи та мережі	Другий (магістерський)	УД №11005807 (ОП)	"12.11.2018
01.07.2025"	Міністерство освіти і науки України	Факультет комп'ютерних наук та технологій
91	12 Інформаційні технології	123 Комп’ютерна інженерія	6989	Системне програмування	Перший (бакалаврський)	"№ 4591
(ОП)"	"02.06.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
92	12 Інформаційні технології	123 Комп’ютерна інженерія	8934	Системне програмування	Другий (магістерський)	"№6533
 (ОП)"	"14.12.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
93	12 Інформаційні технології	123 Комп’ютерна інженерія	49910	Комп’ютерна інженерія	Третій (освітньо- науковий)	"№ 3129
 (ОП)"	"20.04.2022
01.07.2027"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
94	12 Інформаційні технології	125 Кібербезпека	18125	Системи та технології кібербезпеки	Перший (бакалаврський)	НД №1193809 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Факультет комп'ютерних наук та технологій
95	12 Інформаційні технології	125 Кібербезпека та захист інформації (для вступників з 2023 року)	59194	Системи та технології кібербезпеки	Перший (бакалаврський)	УД №11016973 (С)	"01.07.2023
01.07.2027"	Міністерство освіти і науки України	Факультет комп'ютерних наук та технологій
96	12 Інформаційні технології	"125 Кібербезпека
"	24188	"Управління інформаційною безпекою
Набір припинено з 2023 р."	Перший (бакалаврський)	НД №1193809 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Факультет комп'ютерних наук та технологій
97	12 Інформаційні технології	125 Кібербезпека та захист інформації (для вступників з 2023 року)	59436	"Управління інформаційною безпекою
Набір припинено з 2023 р."	Перший (бакалаврський)	УД №11016973 (С)	"01.07.2023
01.07.2027"	Міністерство освіти і науки України	Факультет комп'ютерних наук та технологій
98	12 Інформаційні технології	125 Кібербезпека та захист інформації	59327	Управління кібербезпекою та захистом інформації	Перший (бакалаврський)	УД №11016973 (С)	"01.07.2023
01.07.2027"	Міністерство освіти і науки України	Факультет комп'ютерних наук та технологій
99	12 Інформаційні технології	125 Кібербезпека та захист інформації 	59440	"Адміністративний менеджмент у сфері захисту інформації
Набір припинено з 2023 р."	Другий (магістерський)	УД №11016969 (ОП)	"01.07.2023
01.07.2025"	Міністерство освіти і науки України	Факультет комп'ютерних наук та технологій
100	12 Інформаційні технології	125 Кібербезпека	16503	Безпека інформаційних і комунікаційних систем	Перший (бакалаврський)	НД №1193809 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Факультет комп'ютерних наук та технологій
101	12 Інформаційні технології	125 Кібербезпека та захист інформації  (для вступників з 2023 року)	59198	Безпека інформаційних і комунікаційних систем	Перший (бакалаврський)	УД №11016973 (С)	"01.07.2023
01.07.2027"	Міністерство освіти і науки України	Факультет комп'ютерних наук та технологій
102	12 Інформаційні технології	125 Кібербезпека та захист інформації 	59297	Безпека інформаційних і комунікаційних систем	Другий (магістерський)	"№9252
 (ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
103	12 Інформаційні технології	125 Кібербезпека	4879	Системи технічного захисту інформації, автоматизація її обробки	Перший (бакалаврський)	НД №1193809 (С)	"31.10.2017
01.07.2027"	Міністерство освіти і науки України	Факультет комп'ютерних наук та технологій
104	12 Інформаційні технології	125 Кібербезпека та захист інформації (для вступників з 2023 року)	59199	Системи технічного захисту інформації, автоматизація її обробки	Перший (бакалаврський)	УД №11016973 (С)	"01.07.2023
01.07.2027"	Міністерство освіти і науки України	Факультет комп'ютерних наук та технологій
105	12 Інформаційні технології	125 Кібербезпека та захист інформації 	59298	Системи технічного захисту інформації, автоматизація її обробки	Другий (магістерський)	"№ 8810
(ОП)"	"25.06.2024
25.06.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
106	12 Інформаційні технології	125 Кібербезпека та захист інформації	59328	Системи та технології кібербезпеки	Другий (магістерський)	"№9250
(ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
107	12 Інформаційні технології	125 Кібербезпека	49911	Кібербезпека	Третій (освітньо- науковий)	"№ 5789
(ОП)"	"28.07.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
108	12 Інформаційні технології	125 Кібербезпека та захист інформації (для вступників з 2023 року)	59092	Кібербезпека	Третій (освітньо- науковий)	"№ 5789
(ОП)"	"28.07.2023
01.07.2029"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
109	12 Інформаційні технології	126 Інформаційні системи та технології	26582	Інформаційні системи та технології	Перший (бакалаврський)	"№ 4418
(ОП)"	"19.05.2023
01.07.2028"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
110	12 Інформаційні технології	126 Інформаційні системи та технології	60706	Інтелектуальні системи та технології	Другий (магістерський)	"№9249
(ОП)"	"28.10.2024
22.10.2025"	Національне агентство із забезпечення якості вищої освіти 	Факультет комп'ютерних наук та технологій
111	12 Інформаційні технології	126 Інформаційні системи та технології	64168	Інформаційні системи та технології	Третій (освітньо- науковий)	Неакредитована (ОП)	---	---	
