Заголовок:Наші партнери

Дата: ----------
URL: https://nau.edu.ua/ua/menu/quality/nashi-partneri/
==================================================
Наші партнери
 

КРАЇНА	Назва установи	№ угоди	Дата підписання	Термін дії
КИТАЙ	Комунікаційна будівельна група Синьцзянь ЛТД	55-2018/UA-CN	01.02.2018	-
КИТАЙ 	Beijing Puxian education technology development Co.	53-2017/UA-CN	01.12.2017	01.12.2021
КИТАЙ	Товариство з обмеженою відповідальністюариство з обмеженою відповідальністю "Zhejiang Golden Egg Science and Technology"	41-2017/UA-CN	08.11.2017	-
ПОРТУГАЛІЯ	"Aeroneo"	11-2014/UA-PT	09.10.2014	31.12.2020
СЛОВЕНІЯ	Automodern d.o.o.	10-2019/UA-SK	11.03.2019	11.03.2029
ТУРЕЧЧИНА	Турецька авіакосмічна корпорація (ТАІ)	09-2017/ UA-TR	16.03.2017	необмежений
ТУРЕЧЧИНА	АТ «HAVASAN HAVACILIK»	08-2017/UA-TR	01.03.2017	необмежений
УЗБЕКИСТАН	СП «Авіа-центр»	81-2018/UA-UZ	06.09.2018	31.12.2028
УКРАЇНА	Страхова Компанія UPSK	14-2019/UA-UA	24.04.2019	24.04.2020
УКРАЇНА	Товариство з обмеженою відповідальністюариство з обмеженою відповідальністю "Енджініес Аероспейс Лтд." 	12-2019/UA-UA	27.03.2019	27.03.2029
УКРАЇНА	ПРАТ "Компанія Росток"	06-2019/UA-UA	19.02.2019	19.02.2029
УКРАЇНА	П.А.Т. "Страхова компанія ВУСО"	92-2018/UA-UA	31.10.2018	-
УКРАЇНА	ТДВ "СК "Мегаполіс"	84-2018/UA-UA	01.10.2018	01.10.2028
УКРАЇНА	Товариство з обмеженою відповідальністюариство з обмеженою відповідальністю "Інформаційно-аналітічний центр "ЕКСОР"	290	23.10.2013	31.12.2020
УКРАЇНА	Товариство з обмеженою відповідальністю "Орган сертифікації персоналу Української асоціації якості"	302	24.12.2013	безстроковий
УКРАЇНА	Товариство з обмеженою відповідальністюариство з обмеженою відповідальністю "СК "Аеро"	21/310	27.01.2014	27.01.2019
УКРАЇНА	Товариство з обмеженою відповідальністю Науковий парк "Аерокосмічні інноваційні технології"	334	24.04.2014	безстроковий 
УКРАЇНА	Національний центр управління та випробовування космічних засобів	358	24.10.2014	31.12.2019
УКРАЇНА	Товариство з обмеженою відповідальністюариство з обмеженою відповідальністю "Льотна школа "Кондор"	361	04.11.2014	04.11.2019
УКРАЇНА	Товариство з обмеженою відповідальністю "Льотна школа "Форсаж"	379	20.03.2015	20.03.2020
УКРАЇНА	Товариство з обмеженою відповідальністюариство з обмеженою відповідальністю «Інтеравіа»	500	-	-
УКРАЇНА	Товариство з обмеженою відповідальністю «Прогрестех-Україна»	 25-2019/ua-ua 	18.06.2019	-
УКРАЇНА	Державне підприємство "Завод 410 цивільної авіації"	568	07.12.2018	-
УКРАЇНА	Державне підприємство «Укравтогаз»	495	31.08.2017	-
УКРАЇНА	Державне підприємство «Антонов»	07-291-17-490 	03.07.2017	-
УКРАЇНА	Науково виробнича фірма "Адрон"	407	02.12.2015	2019
УКРАЇНА	Адвокатське обєднання "Фортіс"	424	14.03.2016	31.01.2021
УКРАЇНА	Всеукраїнська громадська організація  "Рада з конкурентоспроможності індустрії інформаційно-телекомунікаційних технологій України"	433	11.03.2016	11.03.2021
ПАНАМА	Credence Partner Corp	437	01.04.2016	31.12.2025
УКРАЇНА	Громадська організація "Ла Страда - Україна"	444	15.04.2016	31.01.2021
УКРАЇНА	Державне підприємство "Конотопський авіаремонтний завод "Авіакон"	445	21.04.2016	безстроковий
УКРАЇНА	Приватне підприємство «Виробничо-торгівельна фірма «Промисловий, торговий та експертний сервіс» 	452	30.05.2016	31.12.2021
УКРАЇНА	Державна акціонерна холдінгова компанія "Артем"	455	15.07.2016	безстроковий
УКРАЇНА	Товариство з обмеженою відповідальністю "Кіберакадемія"	468	30.12.2016	2021
УКРАЇНА	Товариство з обмеженою відповідальністю "Гюнсел"	473	24.03.2017	2020
УКРАЇНА	Корпорація "Український ценр експертизи та сертифікації авіаційної техніки"	484	17.05.2017	безстроковий
УКРАЇНА	Товариство з обмеженою відповідальністю "ЕКС Імпорт Груп"	2203/528	22.03.2018	2019
УКРАЇНА	Товариство з обмеженою відповідальністю "Ассасе"	539	11.05.2018	2022
УКРАЇНА	Товариство з обмеженою відповідальністю "Світ інформаційно-телекомунікаційних систем"	542	18.05.2018	безстроковий
УКРАЇНА	Товариство з обмеженою відповідальністю "ЗАММЛЕР Україна"	543	18.05.2018	2019
УКРАЇНА	Товариство з обмеженою відповідальністю "Антиплагіат"	07-06/2018/545	07.06.2018	2025
УКРАЇНА	Товариство з обмеженою відповідальністю "Компанія Скай Сервіс"	25/05-2018/546	15.05.2018	2019
УКРАЇНА	Товариство з обмеженою відповідальністю "Прайм-Рейт"	560	18.07.2018	2023
УКРАЇНА	Товариство з обмеженою відповідальністю "ЕПАМ СИСТЕМЗ"	562	21.08.2018	2023
УКРАЇНА	Іноземне підприємство "Амадеус Україна"	563	25.09.2018	2019
УКРАЇНА	Товариство з обмеженою відповідальністю "Головне підприємство обробки польотної інформації"	574	01.02.2019	2020
УКРАЇНА	Товариство з обмеженою відповідальністю "Національні конфіденційні мережі"	583	28.02.2019	безстроковий
УКРАЇНА	Товариство з обмеженою відповідальністю "НВО "Телеоптика""	588	29.03.2019	безстроковий
УКРАЇНА	Товариство з обмеженою відповідальністю "Юридична компанія "Лекс Консалтинг Україна"	590	25.04.2019	2023
УКРАЇНА	Товариство з обмеженою відповідальністю "Гарантії безпеки"	591	06.05.2019	2025
УКРАЇНА	Державне підприємство "Одеський авіаційний завод"	41/ВРП-19/592	13.02.2019	2021
УКРАЇНА	Товариство з обмеженою відповідальністю "Туристична фірма "Авіатур"	594	16.05.2019	безстроковий
УКРАЇНА	Товариство з обмеженою відповідальністю "КиЙ Авіа КАРГО"	595	20.05.2019	безстроковий
УКРАЇНА	Комунальне підприємство "Міжнародний аеропорт "Київ" ім. Ігоря Сикорського"	598	03.06.2019	безстроковий
УКРАЇНА	Товариство з обмеженою відповідальністю "Джоїн АП"	602	26.06.2019	2022
УКРАЇНА	Товариство з обмеженою відповідальністю "Еколь Логістік"	603	26.06.2019	2024
УКРАЇНА	Асоціація "Аеропорти України"	606	10.07.2019	безстроковий
УКРАЇНА	Громадська оганізація "Союз експертів України"	611	10.08.2019	безстроковий
УКРАЇНА	Державне підприємство "Електронмаш"	613	04.09.2019	04.09.2014
УКРАЇНА	Громадська організація "Центр суспільних досліджень"	614	04.09.2019	безстроковий
УКРАЇНА	Національне бюро з розслідування авіаційних подій та інцидентів з повітряними суднами	575	01.02.2019	-
УКРАЇНА	Товариство з обмеженою відповідальністю "Головне підприємство обробки польотної інформації"	574	01.02.2019	-
УКРАЇНА	Державне підприємство "Одеський авіаційний завод"	№ 41/ВРП-19/592 	13.02.2019	-
УКРАЇНА	Товариство з обмеженою відповідальністю «РА «ФЕРЗЬ»	32	07.05.2019	-
УКРАЇНА	Товариство з обмеженою відповідальністюариство з обмеженою відповідальністю «ЯРЗ»	46	14.05.2019	-
УКРАЇНА	Державний архів Київської області	3	18.06.2019	-
УКРАЇНА	Громадська організація «Центр конструктивних технологій Піар-Ленд»	64	30.05.2019	-
УКРАЇНА	Товариство з обмеженою відповідальністюариство з обмеженою відповідальністю «Тейлор Нельсон Софрез Україна» 	62	27.05.2019	-
